cidade,estado,uf,latitude,longitude
Brasília,DISTRITO FEDERAL,DF,-15.7795,-47.9297
Afonso Cláudio,ESPÍRITO SANTO,ES,-20.0778,-41.1261
Cachoeiro de Itapemirim,ESPÍRITO SANTO,ES,-20.8462,-41.1198
Cariacica,ESPÍRITO SANTO,ES,-20.2632,-40.4165
Domingos Martins,ESPÍRITO SANTO,ES,-20.3603,-40.6594
Linhares,ESPÍRITO SANTO,ES,-19.3946,-40.0643
Marechal Floriano,ESPÍRITO SANTO,ES,-20.4159,-40.67
Serra,ESPÍRITO SANTO,ES,-20.121,-40.3074
São Mateus,ESPÍRITO SANTO,ES,-18.7214,-39.8579
Venda Nova do Imigrante,ESPÍRITO SANTO,ES,-20.327,-41.1355
Vila Pavão,ESPÍRITO SANTO,ES,-18.6091,-40.609
Vila Velha,ESPÍRITO SANTO,ES,-20.3417,-40.2875
Vitória,ESPÍRITO SANTO,ES,-20.3155,-40.3128
Abadiânia,GOIAS,GO,-16.197,-48.7057
Acreúna,GOIAS,GO,-17.396,-50.3749
Alexânia,GOIAS,GO,-16.0834,-48.5076
Anápolis,GOIAS,GO,-16.3281,-48.953
Aparecida de Goiânia,GOIAS,GO,-16.8198,-49.2469
Aragarças,GOIAS,GO,-15.8955,-52.2372
Arenópolis,GOIAS,GO,-16.3837,-51.5563
Bom Jardim de Goiás,GOIAS,GO,-16.2063,-52.1728
Bom Jesus de Goiás,GOIAS,GO,-18.2173,-49.74
Caldas Novas,GOIAS,GO,-17.7441,-48.6246
Campo Alegre de Goiás,GOIAS,GO,-17.6363,-47.7768
Catalão,GOIAS,GO,-18.1656,-47.944
Caçu,GOIAS,GO,-18.5594,-51.1328
Ceres,GOIAS,GO,-15.3061,-49.6
Cocalzinho de Goiás,GOIAS,GO,-15.7914,-48.7747
Cristalina,GOIAS,GO,-16.7676,-47.6131
Estrela do Norte,GOIAS,GO,-13.8665,-49.0716
Formosa,GOIAS,GO,-15.54,-47.337
Goianira,GOIAS,GO,-16.4947,-49.427
Goianésia,GOIAS,GO,-15.3118,-49.1162
Goiânia,GOIAS,GO,-16.6864,-49.2643
Inaciolândia,GOIAS,GO,-18.4869,-49.9888
Indiara,GOIAS,GO,-17.1387,-49.9862
Inhumas,GOIAS,GO,-16.3611,-49.5001
Ipameri,GOIAS,GO,-17.7215,-48.1581
Iporá,GOIAS,GO,-16.4398,-51.118
Itaberaí,GOIAS,GO,-16.0206,-49.806
Itaguari,GOIAS,GO,-15.918,-49.6071
Itapaci,GOIAS,GO,-14.9522,-49.5511
Itauçu,GOIAS,GO,-16.2029,-49.6109
Itumbiara,GOIAS,GO,-18.4093,-49.2158
Jaraguá,GOIAS,GO,-15.7529,-49.3344
Jataí,GOIAS,GO,-17.8784,-51.7204
Jussara,GOIAS,GO,-15.8659,-50.8668
Luziânia,GOIAS,GO,-16.253,-47.95
Mara Rosa,GOIAS,GO,-14.0148,-49.1777
Maurilândia,GOIAS,GO,-17.9719,-50.3388
Mineiros,GOIAS,GO,-17.5654,-52.5537
Montes Claros de Goiás,GOIAS,GO,-16.0059,-51.3979
Morrinhos,GOIAS,GO,-17.7334,-49.1059
Nova Glória,GOIAS,GO,-15.145,-49.5737
Nova Iguaçu de Goiás,GOIAS,GO,-14.2868,-49.3872
Orizona,GOIAS,GO,-17.0334,-48.2964
Piranhas,GOIAS,GO,-16.4258,-51.8235
Pirenópolis,GOIAS,GO,-15.8507,-48.9584
Pires do Rio,GOIAS,GO,-17.3019,-48.2768
Planaltina,GOIAS,GO,-15.452,-47.6089
Porangatu,GOIAS,GO,-13.4391,-49.1503
Quirinópolis,GOIAS,GO,-18.4472,-50.4547
Rialma,GOIAS,GO,-15.3145,-49.5814
Rianápolis,GOIAS,GO,-15.4456,-49.5114
Rio Verde,GOIAS,GO,-17.7923,-50.9192
Santa Bárbara de Goiás,GOIAS,GO,-16.5714,-49.6954
Santa Helena de Goiás,GOIAS,GO,-17.8115,-50.5977
Santa Tereza de Goiás,GOIAS,GO,-13.7138,-49.0144
Santa Terezinha de Goiás,GOIAS,GO,-14.4326,-49.7091
São Luiz do Norte,GOIAS,GO,-14.8608,-49.3285
São Luís de Montes Belos,GOIAS,GO,-16.5211,-50.3726
São Simão,GOIAS,GO,-18.996,-50.547
Trindade,GOIAS,GO,-16.6517,-49.4927
Uruana,GOIAS,GO,-15.4993,-49.6861
Uruaçu,GOIAS,GO,-14.5238,-49.1396
Valparaíso de Goiás,GOIAS,GO,-16.0651,-47.9757
Águas Lindas de Goiás,GOIAS,GO,-15.7617,-48.2816
Barra do Corda,MARANHÃO,MA,-5.49682,-45.2485
Estreito,MARANHÃO,MA,-6.56077,-47.4431
Grajaú,MARANHÃO,MA,-5.81367,-46.1462
Imperatriz,MARANHÃO,MA,-5.51847,-47.4777
Alfenas,MINAS GERAIS,MG,-21.4256,-45.9477
Andradas,MINAS GERAIS,MG,-22.0695,-46.5724
Araguari,MINAS GERAIS,MG,-18.6456,-48.1934
Araújos,MINAS GERAIS,MG,-19.9405,-45.1671
Arcos,MINAS GERAIS,MG,-20.2863,-45.5373
Areado,MINAS GERAIS,MG,-21.3572,-46.1421
Baependi,MINAS GERAIS,MG,-21.957,-44.8874
Barbacena,MINAS GERAIS,MG,-21.2214,-43.7703
Belo Horizonte,MINAS GERAIS,MG,-19.9102,-43.9266
Betim,MINAS GERAIS,MG,-19.9668,-44.2008
Boa Esperança,MINAS GERAIS,MG,-21.0927,-45.5612
Bom Despacho,MINAS GERAIS,MG,-19.7386,-45.2622
Botelhos,MINAS GERAIS,MG,-21.6412,-46.391
Cambuí,MINAS GERAIS,MG,-22.6115,-46.0572
Campina Verde,MINAS GERAIS,MG,-19.5382,-49.4862
Campo Belo,MINAS GERAIS,MG,-20.8932,-45.2699
Candeias,MINAS GERAIS,MG,-20.7692,-45.2765
Congonhas,MINAS GERAIS,MG,-20.4958,-43.851
Conselheiro Lafaiete,MINAS GERAIS,MG,-20.6634,-43.7846
Contagem,MINAS GERAIS,MG,-19.9321,-44.0539
Divinópolis,MINAS GERAIS,MG,-20.1446,-44.8912
Extrema,MINAS GERAIS,MG,-22.854,-46.3178
