estado_destino,municipio_ou_aeroporto
SC,Agrolândia
SC,Agronômica
SC,Águas Mornas
SC,Alfredo Wagner
SC,Angelina
SC,Anita Garibaldi
SC,Anitápolis
SC,Antônio Carlos
SC,Apiúna
SC,Araquari
SC,Araranguá
SC,Armazém
SC,Ascurra
SC,Atalanta
SC,Aurora
SC,Balneário Arroio do Silva
SC,Balneário Barra do Sul
SC,Balneário Camboriú
SC,Balneário Gaivota
SC,Balneário Piçarras
SC,Balneário Rincão
SC,Barra Velha
SC,Bela Vista do Toldo
SC,Benedito Novo
SC,Biguaçu
SC,Blumenau
SC,Bocaina do Sul
SC,Bom Jardim da Serra
SC,Bom Retiro
SC,Bombinhas
SC,Botuverá
SC,Braço do Norte
SC,Braço do Trombudo
SC,Brusque
SC,Caçador
SC,Cambara
SC,Camboriú
SC,Campo Alegre
SC,Campo Belo do Sul
SC,Canelinha
SC,Canoinhas
SC,Capão Alto
SC,Capivari de Baixo
SC,Celso Ramos
SC,Cerro Negro
SC,Cocal do Sul
SC,Correia Pinto
SC,Corupá
SC,Criciúma
SC,Curitibanos
SC,Dona Emma
SC,Doutor Pedrinho
SC,Ermo
SC,Florianópolis
SC,Forquilhinha
SC,Fraiburgo
SC,Garopaba
SC,Garuva
SC,Gaspar
SC,Governador Celso Ramos
SC,Grão-Pará
SC,Gravatal
SC,Guabiruba
SC,Guaramirim
SC,Ibirama
SC,Içara
SC,Ilhota
SC,Imaruí
SC,Imbituba
SC,Imbuia
SC,Indaial
SC,Irineópolis
SC,Itaiópolis
SC,Itajaí
SC,Itapema
SC,Itapoá
SC,Ituporanga
SC,Jacinto Machado
SC,Jaguaruna
SC,Jaraguá do Sul
SC,Joinville
SC,José Boiteux
SC,Lages
SC,Laguna
SC,Laurentino
SC,Lauro Müller
SC,Leoberto Leal
SC,Lontras
SC,Luiz Alves
SC,Mafra
SC,Major Gercino
SC,Major Vieira
SC,Maracajá
SC,Massaranduba
SC,Meleiro
SC,Mirim Doce
SC,Monte Castelo
SC,Morro da Fumaça
SC,Morro Grande
SC,Navegantes
SC,Nova Trento
SC,Nova Veneza
SC,Orleans
SC,Otacílio Costa
SC,Painel
SC,Palhoça
SC,Palmeira
SC,Papanduva
SC,Passo de Torres
SC,Paulo Lopes
SC,Pedras Grandes
SC,Penha
SC,Pescaria Brava
SC,Petrolândia
SC,Pomerode
SC,Ponte Alta
SC,Ponte Alta do Norte
SC,Porto Belo
SC,Porto União
SC,Pouso Redondo
SC,Praia Grande
SC,Presidente Getúlio
SC,Presidente Nereu
SC,Rancho Queimado
SC,Rio do Campo
SC,Rio do Oeste
SC,Rio do Sul
SC,Rio dos Cedros
SC,Rio Fortuna
SC,Rio Negrinho
SC,Rio Rufino
SC,Rodeio
SC,Salete
SC,Sangão
SC,Santa Cecília
SC,Santa Rosa de Lima
SC,Santa Rosa do Sul
SC,Santa Terezinha
SC,Santo Amaro da Imperatriz
SC,São Bento do Sul
SC,São Bonifácio
SC,São Cristóvão do Sul
SC,São Francisco do Sul
SC,São João Batista
SC,São João do Itaperiú
SC,São João do Sul
SC,São Joaquim
SC,São José
SC,São José do Cerrito
SC,São Ludgero
SC,São Martinho
SC,São Pedro de Alcântara
SC,Schroeder
SC,Siderópolis
SC,Sombrio
SC,Taió
SC,Tijucas
SC,Timbé do Sul
SC,Timbó
SC,Timbó Grande
SC,Três Barras
SC,Treviso
SC,Treze de Maio
SC,Trombudo Central
SC,Tubarão
SC,Turvo
SC,Urubici
SC,Urupema
SC,Urussanga
SC,Vidal Ramos
SC,Vitor Meireles
SC,Witmarsum
PR,Abatiá
PR,Adrianópolis
PR,Agudos do Sul
PR,Almirante Tamandaré
PR,Altamira do Paraná
PR,Alto Paraíso
PR,Alto Piquiri
PR,Altônia
PR,Alvorada do Sul
PR,Amaporã
PR,Ampére
PR,Anahy
PR,Andirá
PR,Ângulo
PR,Antonina
PR,Antônio Olinto
PR,Apucarana
PR,Arapongas
PR,Arapoti
PR,Arapuã
PR,Araruna
PR,Araucária
PR,Ariranha do Ivaí
PR,Assaí
PR,Assis Chateaubriand
PR,Astorga
PR,Atalaia
PR,Balsa Nova
PR,Bandeirantes
PR,Barbosa Ferraz
PR,Barra do Jacaré
PR,Barracão
PR,Bela Vista da Caroba
PR,Bela Vista do Paraíso
PR,Bituruna
PR,Boa Esperança
PR,Boa Esperança do Iguaçu
PR,Boa Ventura de São Roque
PR,Boa Vista da Aparecida
PR,Bocaiúva do Sul
PR,Bom Jesus do Sul
PR,Bom Sucesso
PR,Bom Sucesso do Sul
PR,Borrazópolis
PR,Braganey
PR,Brasilândia do Sul
PR,Cafeara
PR,Cafelândia
PR,Cafezal do Sul
PR,Califórnia
PR,Cambará
PR,Cambé
PR,Cambira
PR,Campina da Lagoa
PR,Campina do Simão
PR,Campina Grande do Sul
PR,Campo Bonito
PR,Campo do Tenente
PR,Campo Largo
PR,Campo Magro
PR,Campo Mourão
PR,Cândido de Abreu
PR,Candói
PR,Cantagalo
PR,Capanema
PR,Capitão Leônidas Marques
PR,Carambeí
PR,Carlópolis
PR,Cascavel
PR,Castro
PR,Catanduvas
PR,Centenário do Sul
PR,Cerro Azul
PR,Céu Azul
PR,Chopinzinho
PR,Cianorte
PR,Cidade Gaúcha
PR,Clevelândia
PR,Colombo
PR,Colorado
PR,Congonhinhas
PR,Conselheiro Mairinck
PR,Contenda
PR,Corbélia
PR,Cornélio Procópio
PR,Coronel Domingos Soares
PR,Coronel Vivida
PR,Corumbataí do Sul
PR,Cruz Machado
PR,Cruzeiro do Iguaçu
PR,Cruzeiro do Oeste
PR,Cruzeiro do Sul
PR,Cruzmaltina
PR,Curitiba
PR,Curiúva
PR,Diamante d'Oeste
PR,Diamante do Norte
PR,Diamante do Sul
PR,Dois Vizinhos
PR,Douradina
PR,Doutor Camargo
PR,Doutor Ulysses
PR,Enéas Marques
PR,Engenheiro Beltrão
PR,Entre Rios do Oeste
PR,Esperança Nova
PR,Espigão Alto do Iguaçu
PR,Farol
PR,Faxinal
PR,Fazenda Rio Grande
PR,Fênix
PR,Fernandes Pinheiro
PR,Figueira
PR,Flor da Serra do Sul
PR,Floraí
PR,Floresta
PR,Florestópolis
PR,Flórida
PR,Formosa do Oeste
PR,Foz do Iguaçu
PR,Foz do Jordão
PR,Francisco Alves
PR,Francisco Beltrão
PR,General Carneiro
PR,Godoy Moreira
PR,Goioerê
PR,Goioxim
PR,Grandes Rios
PR,Guaíra
PR,Guairaçá
PR,Guamiranga
PR,Guapirama
PR,Guaporema
PR,Guaraci
PR,Guaraniaçu
PR,Guarapuava
PR,Guaraqueçaba
PR,Guaratuba
PR,Honório Serpa
PR,Ibaiti
PR,Ibema
PR,Ibiporã
PR,Icaraíma
PR,Iguaraçu
PR,Iguatu
PR,Imbaú
PR,Imbituva
PR,Inácio Martins
PR,Inajá
PR,Indianópolis
PR,Ipiranga
PR,Iporã
PR,Iracema do Oeste
PR,Irati
PR,Iretama
PR,Itaguajé
PR,Itaipulândia
PR,Itambaracá
PR,Itambé
PR,Itapejara d'Oeste
PR,Itaperuçu
PR,Itaúna do Sul
PR,Ivaí
PR,Ivaiporã
PR,Ivaté
PR,Ivatuba
PR,Jaboti
PR,Jacarezinho
PR,Jaguapitã
PR,Jaguariaíva
PR,Jandaia do Sul
PR,Janiópolis
PR,Japira
PR,Japurá
PR,Jardim Alegre
PR,Jardim Olinda
PR,Jataizinho
PR,Jesuítas
PR,Joaquim Távora
PR,Jundiaí do Sul
PR,Juranda
PR,Jussara
PR,Kaloré
PR,Lapa
PR,Laranjal
PR,Laranjeiras do Sul
PR,Leópolis
PR,Lidianópolis
PR,Lindoeste
PR,Loanda
PR,Lobato
PR,Londrina
PR,Luiziana
PR,Lunardelli
PR,Lupionópolis
PR,Mallet
PR,Mamborê
PR,Mandaguaçu
PR,Mandaguari
PR,Mandirituba
PR,Manfrinópolis
PR,Mangueirinha
PR,Manoel Ribas
PR,Marechal Cândido Rondon
PR,Maria Helena
PR,Marialva
PR,Marilândia do Sul
PR,Marilena
PR,Mariluz
PR,Maringá
PR,Mariópolis
PR,Maripá
PR,Marmeleiro
PR,Marquinho
PR,Marumbi
PR,Matelândia
PR,Matinhos
PR,Mato Rico
PR,Mauá da Serra
PR,Medianeira
PR,Mercedes
PR,Mirador
PR,Miraselva
PR,Missal
PR,Moreira Sales
PR,Morretes
PR,Munhoz de Mello
PR,Nossa Senhora das Graças
PR,Nova Aliança do Ivaí
PR,Nova América da Colina
PR,Nova Aurora
PR,Nova Cantu
PR,Nova Esperança
PR,Nova Esperança do Sudoeste
PR,Nova Fátima
PR,Nova Laranjeiras
PR,Nova Londrina
PR,Nova Olímpia
PR,Nova Prata do Iguaçu
PR,Nova Santa Bárbara
PR,Nova Santa Rosa
PR,Nova Tebas
PR,Novo Itacolomi
PR,Ortigueira
PR,Ourizona
PR,Ouro Verde do Oeste
PR,Paiçandu
PR,Palmas
PR,Palmeira
PR,Palmital
PR,Palotina
PR,Paraíso do Norte
PR,Paranacity
PR,Paranaguá
PR,Paranapoema
PR,Paranavaí
PR,Pato Bragado
PR,Pato Branco
PR,Paula Freitas
PR,Paulo Frontin
PR,Peabiru
PR,Perobal
PR,Pérola
PR,Pérola d'Oeste
PR,Piên
PR,Pinhais
PR,Pinhal de São Bento
PR,Pinhalão
PR,Pinhão
PR,Piraí do Sul
PR,Piraquara
PR,Pitanga
PR,Pitangueiras
PR,Planaltina do Paraná
PR,Planalto
PR,Ponta Grossa
PR,Pontal do Paraná
PR,Porecatu
PR,Porto Amazonas
PR,Porto Barreiro
PR,Porto Rico
PR,Porto Vitória
PR,Prado Ferreira
PR,Pranchita
PR,Presidente Castelo Branco
PR,Primeiro de Maio
PR,Prudentópolis
PR,Quarto Centenário
PR,Quatiguá
PR,Quatro Barras
PR,Quatro Pontes
PR,Quedas do Iguaçu
PR,Querência do Norte
PR,Quinta do Sol
PR,Quitandinha
PR,Ramilândia
PR,Rancho Alegre
PR,Rancho Alegre d'Oeste
PR,Realeza
PR,Rebouças
PR,Renascença
PR,Reserva
PR,Reserva do Iguaçu
PR,Ribeirão Claro
PR,Ribeirão do Pinhal
PR,Rio Azul
PR,Rio Bom
PR,Rio Bonito do Iguaçu
PR,Rio Branco do Ivaí
PR,Rio Branco do Sul
PR,Rio Negro
PR,Rolândia
PR,Roncador
PR,Rondon
PR,Rosário do Ivaí
PR,Sabáudia
PR,Salgado Filho
PR,Salto do Itararé
PR,Salto do Lontra
PR,Santa Amélia
PR,Santa Cecília do Pavão
PR,Santa Cruz de Monte Castelo
PR,Santa Fé
PR,Santa Helena
PR,Santa Inês
PR,Santa Isabel do Ivaí
PR,Santa Izabel do Oeste
PR,Santa Lúcia
PR,Santa Maria do Oeste
PR,Santa Mariana
PR,Santa Mônica
PR,Santa Tereza do Oeste
PR,Santa Terezinha de Itaipu
PR,Santana do Itararé
PR,Santo Antônio da Platina
PR,Santo Antônio do Caiuá
PR,Santo Antônio do Paraíso
PR,Santo Antônio do Sudoeste
PR,Santo Inácio
PR,São Carlos do Ivaí
PR,São Jerônimo da Serra
PR,São João
PR,São João do Caiuá
PR,São João do Ivaí
PR,São João do Triunfo
PR,São Jorge d'Oeste
PR,São Jorge do Ivaí
PR,São Jorge do Patrocínio
PR,São José da Boa Vista
PR,São José das Palmeiras
PR,São José dos Pinhais
PR,São Manoel do Paraná
PR,São Mateus do Sul
PR,São Miguel do Iguaçu
PR,São Pedro do Iguaçu
PR,São Pedro do Ivaí
PR,São Pedro do Paraná
PR,São Sebastião da Amoreira
PR,São Tomé
PR,Sapopema
PR,Sarandi
PR,Saudade do Iguaçu
PR,Sengés
PR,Serranópolis do Iguaçu
PR,Sertaneja
PR,Sertanópolis
PR,Siqueira Campos
PR,Sulina
PR,Tamarana
PR,Tamboara
PR,Tapejara
PR,Tapira
PR,Teixeira Soares
PR,Telêmaco Borba
PR,Terra Boa
PR,Terra Rica
PR,Terra Roxa
PR,Tibagi
PR,Tijucas do Sul
PR,Toledo
PR,Tomazina
PR,Três Barras do Paraná
PR,Tunas do Paraná
PR,Tuneiras do Oeste
PR,Tupãssi
PR,Turvo
PR,Ubiratã
PR,Umuarama
PR,União da Vitória
PR,Uniflor
PR,Uraí
PR,Ventania
PR,Vera Cruz do Oeste
PR,Verê
PR,Virmond
PR,Vitorino
PR,Wenceslau Braz
PR,Xambrê
SP,Adamantina
SP,Adolfo
SP,Aguaí
SP,Águas da Prata
SP,Águas de Lindóia
SP,Águas de São Pedro
SP,Águas de São Pedro
SP,Agudos
SP,Alambari
SP,Alfredo Marcondes
SP,Altair
SP,Altinópolis
SP,Alto Alegre
SP,Alumínio
SP,Álvares Florence
SP,Álvares Machado
SP,Álvaro de Carvalho
SP,Alvinlândia
SP,Americana
SP,Américo Brasiliense
SP,Américo de Campos
SP,Amparo
SP,Analândia
SP,Andradina
SP,Angatuba
SP,Anhembi
SP,Anhumas
SP,Aparecida
SP,Aparecida d'Oeste
SP,Apiaí
SP,Araçariguama
SP,Araçatuba
SP,Araçoiaba da Serra
SP,Aramina
SP,Arandu
SP,Arapeí
SP,Araraquara
SP,Araras
SP,Arco-Íris
SP,Arealva
SP,Areias
SP,Areiópolis
SP,Ariranha
SP,Artur Nogueira
SP,Arujá
SP,Aspásia
SP,Assis
SP,Atibaia
SP,Auriflama
SP,Avaí
SP,Avanhandava
SP,Avaré
SP,Bady Bassitt
SP,Balbinos
SP,Bálsamo
SP,Bananal
SP,Barão de Antonina
