cidade,uf,prazo_dias_uteis
ACRELANDIA,AC,27
ASSIS BRASIL,AC,25
BRASILEIA,AC,22
BUJARI,AC,27
CAPIXABA,AC,27
CRUZEIRO DO SUL,AC,27
EPITACIOLANDIA,AC,27
FEIJO,AC,27
JORDAO,AC,22
MANCIO LIMA,AC,22
MANOEL URBANO,AC,27
MARECHAL THAUMATURGO,AC,27
PLACIDO DE CASTRO,AC,22
PORTO ACRE,AC,27
PORTO WALTER,AC,27
RIO BRANCO,AC,15
RODRIGUES ALVES,AC,27
SANTA ROSA DO PURUS,AC,27
SENA MADUREIRA,AC,27
SENADOR GUIOMARD,AC,22
TARAUACA,AC,22
XAPURI,AC,22
AGUA BRANCA,AL,14
ANADIA,AL,14
ARAPIRACA,AL,14
ATALAIA,AL,14
BARRA DE SANTO ANTONIO,AL,14
BARRA DE SAO MIGUEL,AL,14
BATALHA,AL,14
BELEM,AL,14
BELO MONTE,AL,14
BOCA DA MATA,AL,14
BRANQUINHA,AL,14
CACIMBINHAS,AL,14
CAJUEIRO,AL,14
CAMPESTRE,AL,14
CAMPO ALEGRE,AL,14
CAMPO GRANDE,AL,14
CANAPI,AL,14
CAPELA,AL,14
CARNEIROS,AL,14
CHA PRETA,AL,14
COITE DO NOIA,AL,14
COLONIA LEOPOLDINA,AL,14
COQUEIRO SECO,AL,14
CORURIPE,AL,14
CRAIBAS,AL,14
DELMIRO GOUVEIA,AL,14
DOIS RIACHOS,AL,14
ESTRELA DE ALAGOAS,AL,14
FEIRA GRANDE,AL,14
FELIZ DESERTO,AL,14
FLEXEIRAS,AL,14
GIRAU DO PONCIANO,AL,14
IBATEGUARA,AL,14
IGACI,AL,14
IGREJA NOVA,AL,14
INHAPI,AL,14
JACARE DOS HOMENS,AL,14
JACUIPE,AL,14
JAPARATINGA,AL,14
JARAMATAIA,AL,14
JEQUIA DA PRAIA,AL,14
JOAQUIM GOMES,AL,14
JUNDIA,AL,14
JUNQUEIRO,AL,14
LAGOA DA CANOA,AL,14
LIMOEIRO DE ANADIA,AL,14
MACEIO,AL,10
MAJOR ISIDORO,AL,14
MAR VERMELHO,AL,14
MARAGOGI,AL,14
MARAVILHA,AL,14
MARECHAL DEODORO,AL,14
MARIBONDO,AL,14
MATA GRANDE,AL,14
MATRIZ DE CAMARAGIBE,AL,14
MESSIAS,AL,14
MINADOR DO NEGRAO,AL,14
MONTEIROPOLIS,AL,14
MURICI,AL,14
NOVO LINO,AL,14
OLHO D AGUA DAS FLORES,AL,14
OLHO D AGUA DO CASADO,AL,14
OLHO D AGUA GRANDE,AL,14
OLHO DAGUA DOS DANDANHAS,AL,14
OLIVENCA,AL,14
OURO BRANCO,AL,14
PALESTINA,AL,14
PALMEIRA DOS INDIOS,AL,14
PAO DE ACUCAR,AL,14
PARICONHA,AL,14
PARIPUEIRA,AL,14
PASSO DE CAMARAGIBE,AL,14
PAULO JACINTO,AL,14
PENEDO,AL,14
PIACABUCU,AL,14
PILAR,AL,14
PINDOBA,AL,14
PIRANHAS,AL,14
POCO DAS TRINCHEIRAS,AL,14
PORTO CALVO,AL,14
PORTO DE PEDRAS,AL,14
PORTO REAL DO COLEGIO,AL,14
QUEBRANGULO,AL,14
RIO LARGO,AL,14
ROTEIRO,AL,14
SANTA LUZIA DO NORTE,AL,14
SANTANA DO IPANEMA,AL,14
SANTANA DO MUNDAU,AL,14
SAO BRAS,AL,14
SAO JOSE DA LAJE,AL,14
SAO JOSE DA TAPERA,AL,14
SAO LUIS DO QUITUNDE,AL,14
SAO MIGUEL DOS CAMPOS,AL,14
SAO MIGUEL DOS MILAGRES,AL,14
SAO SEBASTIAO,AL,14
SATUBA,AL,14
SENADOR RUI PALMEIRA,AL,14
TANQUE D ARCA,AL,14
TAQUARANA,AL,14
TEOTONIO VILELA,AL,14
TRAIPU,AL,14
UNIAO DOS PALMARES,AL,14
VICOSA,AL,14
ALVARAES,AM,32
AMATURA,AM,32
ANAMA,AM,32
ANORI,AM,32
APUI,AM,32
ATALAIA DO NORTE,AM,32
AUTAZES,AM,32
BARCELOS,AM,32
BARREIRINHA,AM,32
BENJAMIN CONSTANT,AM,32
BERURI,AM,32
BOA VISTA DO RAMOS,AM,32
BOCA DO ACRE,AM,32
BORBA,AM,32
CAAPIRANGA,AM,32
CANUTAMA,AM,32
CARAUARI,AM,32
CAREIRO,AM,32
CAREIRO DA VARZEA,AM,32
COARI,AM,32
CODAJAS,AM,32
EIRUNEPE,AM,32
ENVIRA,AM,32
FONTE BOA,AM,32
GUAJARA,AM,32
HUMAITA,AM,32
IPIXUNA,AM,32
IRANDUBA,AM,32
ITACOATIARA,AM,32
ITAMARATI,AM,32
ITAPIRANGA,AM,32
JAPURA,AM,32
JURUA,AM,32
JUTAI,AM,32
LABREA,AM,32
MANACAPURU,AM,32
MANAQUIRI,AM,32
MANAUS,AM,24
MANICORE,AM,32
MARAA,AM,32
MAUES,AM,24
NHAMUNDA,AM,24
NOVA OLINDA DO NORTE,AM,32
NOVO AIRAO,AM,32
NOVO ARIPUANA,AM,32
PARINTINS,AM,32
PAUINI,AM,32
PRESIDENTE FIGUEIREDO,AM,32
RIO PRETO DA EVA,AM,32
SANTA ISABEL DO RIO NEGRO,AM,32
SANTO ANTONIO DO ICA,AM,32
SAO GABRIEL DA CACHOEIRA,AM,32
SAO PAULO DE OLIVENCA,AM,32
SAO SEBASTIAO DO UATUMA,AM,32
SILVES,AM,32
TABATINGA,AM,32
TAPAUA,AM,32
TEFE,AM,32
TONANTINS,AM,32
UARINI,AM,32
URUCARA,AM,32
URUCURITUBA,AM,32
AGUA BRANCA DO AMAPARI,AP,26
AMAPA,AP,26
CALCOENE,AP,26
CUTIAS,AP,26
FERREIRA GOMES,AP,26
ITAUBAL,AP,26
LARANJAL DO JARI,AP,26
MACAPA,AP,19
MAZAGAO,AP,26
OIAPOQUE,AP,26
PEDRA BRANCA DO AMAPARI,AP,26
PORTO GRANDE,AP,26
PRACUUBA,AP,26
SANTANA,AP,19
SERRA DO NAVIO,AP,26
TARTARUGALZINHO,AP,26
VITORIA DO JARI,AP,26
ABADIA,BA,14
ABAIRA,BA,14
ABARE,BA,14
ACAJUTIBA,BA,14
ADUSTINA,BA,14
AGUA FRIA,BA,14
AIQUARA,BA,14
ALAGOINHAS,BA,14
ALCOBACA,BA,14
ALMADINA,BA,14
AMARGOSA,BA,14
AMELIA RODRIGUES,BA,14
AMERICA DOURADA,BA,14
ANAGE,BA,14
ANDARAI,BA,14
ANDORINHA,BA,14
ANGICAL,BA,14
ANGUERA,BA,14
ANTAS,BA,14
ANTONIO CARDOSO,BA,14
ANTONIO GONCALVES,BA,14
APORA,BA,14
APUAREMA,BA,14
ARACAS,BA,14
ARACATU,BA,14
ARACI,BA,14
ARAMARI,BA,14
ARATACA,BA,14
ARATUIPE,BA,14
AURELINO LEAL,BA,12
BAIANOPOLIS,BA,14
BAIXA GRANDE,BA,14
BANZAE,BA,14
BARRA,BA,14
BARRA DA ESTIVA,BA,14
BARRA DO CHOCA,BA,14
BARRA DO MENDES,BA,14
BARRA DO ROCHA,BA,14
BARREIRAS,BA,14
BARRO ALTO,BA,14
BARRO PRETO,BA,14
BARROCAS,BA,14
BELMONTE,BA,14
BELO CAMPO,BA,14
BIRITINGA,BA,14
BOA NOVA,BA,14
BOA VISTA DO TUPIM,BA,14
BOM JESUS DA LAPA,BA,14
BOM JESUS DA SERRA,BA,14
BONINAL,BA,14
BONITO,BA,14
BOQUIRA,BA,14
BOTUPORA,BA,14
BREJOES,BA,14
BREJOLANDIA,BA,14
BROTAS DE MACAUBAS,BA,14
BRUMADO,BA,14
BUERAREMA,BA,14
BURITIRAMA,BA,14
CAATIBA,BA,14
CABACEIRAS DO PARAGUACU,BA,14
CACHOEIRA,BA,14
CACULE,BA,14
CAEM,BA,14
CAETANOS,BA,14
CAETE-ACU,BA,14
CAETITE,BA,14
CAFARNAUM,BA,14
CAIRU,BA,14
CALDAS DO JORRO,BA,14
CALDEIRAO GRANDE,BA,14
CAMACAN,BA,14
CAMACARI,BA,14
CAMAMU,BA,14
CAMPO ALEGRE DE LOURDES,BA,14
CAMPO FORMOSO,BA,14
CANAPOLIS,BA,14
CANARANA,BA,14
CANAVIEIRAS,BA,14
CANDEAL,BA,14
CANDEIAS,BA,14
CANDIBA,BA,14
CANDIDO SALES,BA,14
CANSANCAO,BA,14
